2,null,null,106
1,null,null,106
4,50,27,5905
1,49,32,6457
3,50,16,218
7,80,321,100114
17,62,27,6385
8,97,131,75
33,49,179,71148
73,79,188,62780
9,108,47,4264
4,62,96,0
4,72,37,7742
3,42,14,1351
1,66,16,602
229,null,null,106
2,null,null,106
3,66,42,5908
12,52,13,1130
9,124,150,218
13,68,322,100114
7,null,null,6385
14,103,124,75
393,102,24,1366
413,65,966,337609
3,64,27,4778
15,56,9,275
33,48,8,110
7,null,null,0
5,null,null,1469
5,null,null,0
16,66,258,88658
4,93,29,914
70,47,7,110
7,null,null,0
17,56,10,197
13,48,212,75036
4,54,323,114615
22,42,57,17630
287,72,261,88658
63,62,87,0
74,null,null,0
7,null,null,0
19,53,10,197
7,49,206,75036
116,51,76,25980
611,58,478,126405
10,116,204,13423
12,71,96,26115
939,79,15,35
3,65,104,32386
2,76,16,1640
10,119,147,31
7,1908,286,33162
144,29,1108,440809
224,50,17,1469
211,32,95,32046
259,48,462,149616
10,55,13,1469
6,149,234,22518
147,73,50,10758
314,32,25,6340
184,49,13,1469
15,38,69,22518
1275,63,175,59348
32,59,259,93518
154,42,439,169379
20,49,728,278294
24,35,25,5894
19,52,18,2779
5,51,56,17573
21,39,644,250737
2,48,42,14400
1283,69,1372,485733
462,58,726,289593
510,57,576,228490
5,null,null,59300
24,43,12,1983
3,null,null,107
18,55,61,17573
1165,50,1288,485733
75,47,700,290056
268,43,721,278294
80,37,173,64301
26,57,118,36752
5,null,null,0
47,48,41,14400
9,74,23,2771
195,51,29,7516
820,58,33,4359
248,58,1342,448354
250,71,117,38835
41,53,793,289593
10,null,null,122288
12,128,140,107
14,70,258,81786
496,null,null,81928
244,null,null,107
22,65,100,0
90,null,null,107
36,121,53,5348
6,null,null,0
4,null,null,107
10,null,null,17576
2,58,48,14400
7,null,null,107
95,83,1720,578549
13,56,23,4264
407,52,31,7516
218,57,21,4359
13,97,231,59348
13,74,101,38835
27,null,null,122288
16,null,null,81928
44,null,null,107
57,null,null,107
170,102,36,4374
475,null,null,0
142,96,27,5348
225,149,47,47
74,null,null,0
19,null,null,107
2,null,null,107
5,null,null,0
6,null,null,107
9,null,null,107
3,null,null,17576
2,77,53,14400
219,44,309,93376
49,65,1290,448354
27,null,null,289603
97,null,null,122288
9,82,285,81786
262,null,null,107
477,null,null,107
57,null,null,107
118,null,null,107
50,73,50,14400
19,83,14,47
11,null,null,0
3,null,null,0
95,119,52,6184
8,75,21,487
112,null,null,436
9,121,317,40062
79,269,382,3782
70,68,47,3141
29,44,19,2925
51,null,null,6578
24,47,96,0
12,114,46,487
23,67,12,436
12,119,298,40062
10,103,131,3782
30,90,16,606
375,156,31,6474
16,47,97,0
14,69,29,4829
19,69,13,487
8,50,12,436
23,119,288,40062
8,95,134,3782
111,75,25,2613
15,126,218,57104
12,118,72,12421
36,73,1197,417572
22,55,412,142827
11,116,218,57104
11,113,70,12421
21,66,1223,417572
15,67,334,92908
4,59,25,2791
11,124,104,21345
6,133,68,12421
24,70,1211,417572
10,63,427,142827
183,49,1539,553554
293,76,275,80445
3,51,17,84
8,58,59,16852
9,50,10,323
6,89,25,182
14,52,926,343404
2,53,11,582
95,39,24,5850
12,89,30,1660
8,56,12,1660
6,42,38,10967
1286,44,2538,861887
47,59,9,100
11,51,13,84
11,58,60,16852
17,53,9,323
9,89,25,182
13,49,937,343404
3,54,12,582
11,39,8,458
29,39,92,32386
7,39,11,1660
4,51,12,1660
8,50,39,10967
264,55,1587,553554
84,54,61,16852
7,51,9,323
2,53,7,182
14,40,942,343404
2,47,10,582
54,null,null,32451
35,88,30,1660
5,54,42,10967
42,48,2532,861887
1431,66,85,20412
229,63,846,289593
4,70,8,107
700,53,230,75036
39,95,174,17573
14,54,53,14400
821,76,71,20412
7,61,50,13020
2,79,20,107
596,74,242,75036
31,96,171,17573
2,54,48,14400
1346,72,75,20412
7,113,190,47326
3,70,54,13020
2,84,13,107
50,49,65,17630
31,98,193,17573
9,59,49,14400
11,1885,229,25139
10,133,142,0
9,1892,239,25139
11,131,169,0
274,1929,252,25139
7,127,152,0
13,null,null,28775
614,53,15,56
54,43,817,290056
6,78,383,131718
59,59,11,107
3,73,90,23008
20,63,341,114615
8,58,14,142
15,51,59,17573
2,52,43,14400
99,36,12,1594
56,null,null,28775
108,49,808,289593
54,50,417,131718
6,128,148,107
14,72,243,75036
8,94,355,114615
1,54,14,142
5,51,58,17573
20,52,43,14400
30,31,16,3194
225,70,38,8254
1683,40,639,222402
160,41,10,38
93,39,54,18017
449,30,49,17833
2,32,54,17573
61,59,247,86684
6,null,null,43
97,59,10,104
1015,53,555,181728
180,125,941,297936
157,65,49,6332
8,null,null,47332
3,101,207,25470
